Movie Title,Duration,Rating,Release Year,Genre
All the Money in the World,132 min,6.8,2017,"Biography, Crime, Drama"
Wanted,110 min,6.7,2008,"Action, Crime, Thriller"
Snow White and the Huntsman,127 min,6.1,2012,"Action, Adventure, Drama"
Gravity,91 min,7.7,2013,"Action, Drama, Sci-Fi"
Chicago,113 min,7.2,2002,"Comedy, Crime, Musical"
The Thin Red Line,170 min,7.6,1998,"Drama, History, War"
Superman Returns,154 min,6.0,2006,"Action, Sci-Fi"
In Bruges,107 min,7.9,2008,"Comedy, Crime, Drama"
Brave,93 min,7.1,2012,"Animation, Adventure, Comedy"
The Lost World: Jurassic Park,129 min,6.6,1997,"Action, Adventure, Sci-Fi"
Dick Tracy,105 min,6.1,1990,"Action, Comedy, Crime"
The Post,116 min,7.2,2017,Drama
The Firm,154 min,6.8,1993,"Drama, Mystery, Thriller"
How to Train Your Dragon,98 min,8.1,2010,"Animation, Action, Adventure"
Mank,131 min,6.9,2020,"Biography, Comedy, Drama"
Hugo,126 min,7.5,2011,"Adventure, Drama, Family"
Unbroken,137 min,7.2,I 2014,"Action, Biography, Drama"
District 9,112 min,7.9,2009,"Action, Sci-Fi, Thriller"
Vanilla Sky,136 min,6.9,2001,"Fantasy, Mystery, Romance"
As Good as It Gets,139 min,7.7,1997,"Comedy, Drama, Romance"
The English Patient,162 min,7.4,1996,"Drama, Romance, War"
The Last Samurai,154 min,7.7,2003,"Action, Drama"
Aladdin,90 min,8.0,1992,"Animation, Adventure, Comedy"
"I, Robot",115 min,7.1,2004,"Action, Mystery, Sci-Fi"
Erin Brockovich,131 min,7.4,2000,"Biography, Drama"
Lion,118 min,8.0,2016,"Biography, Drama"
Jerry Maguire,139 min,7.3,1996,"Comedy, Drama, Romance"
The Aviator,170 min,7.5,2004,"Biography, Drama"
The Cell,107 min,6.4,2000,"Crime, Horror, Sci-Fi"
Coraline,100 min,7.7,2009,"Animation, Drama, Family"
The Theory of Everything,123 min,7.7,2014,"Biography, Drama, Romance"
Tron,125 min,6.8,2010,"Action, Adventure, Sci-Fi"
Pearl Harbor,183 min,6.2,2001,"Action, Drama, History"
War of the Worlds,116 min,6.5,2005,"Action, Adventure, Sci-Fi"
Dancer in the Dark,140 min,8.0,2000,"Crime, Drama, Musical"
Toy Story 3,103 min,8.2,2010,"Animation, Adventure, Comedy"
Sleepless in Seattle,105 min,6.8,1993,"Comedy, Drama, Romance"
Jackie Brown,154 min,7.5,1997,"Crime, Drama, Thriller"
Maleficent: Mistress of Evil,119 min,6.6,2019,"Adventure, Family, Fantasy"
Blood Diamond,143 min,8.0,2006,"Adventure, Drama, Thriller"
True Lies,141 min,7.2,1994,"Action, Comedy, Thriller"
Alien³,114 min,6.5,1992,"Action, Horror, Sci-Fi"
Ted,106 min,6.9,2012,Comedy
The Danish Girl,119 min,7.1,2015,"Biography, Drama, Romance"
Road to Perdition,117 min,7.7,2002,"Crime, Drama, Thriller"
Up in the Air,109 min,7.4,I 2009,"Comedy, Drama, Romance"
Onward,102 min,7.4,I 2020,"Animation, Adventure, Comedy"
King Kong,187 min,7.2,2005,"Action, Adventure, Drama"
Revolutionary Road,119 min,7.3,2008,"Drama, Romance"
Batman Forever,121 min,5.4,1995,"Action, Adventure"
Vicky Cristina Barcelona,96 min,7.1,2008,"Comedy, Drama, Romance"
Twister,113 min,6.4,I 1996,"Action, Adventure, Thriller"
Lone Survivor,121 min,7.5,2013,"Action, Biography, Drama"
The Village,108 min,6.5,2004,"Drama, Mystery, Thriller"
Bright Star,119 min,6.9,2009,"Biography, Drama, Romance"
Sense and Sensibility,136 min,7.7,1995,"Drama, Romance"
Mary Poppins Returns,130 min,6.7,2018,"Adventure, Comedy, Family"
Wreck-It Ralph,101 min,7.7,2012,"Animation, Adventure, Comedy"
The Phantom of the Opera,143 min,7.2,2004,"Drama, Musical, Romance"
"O Brother, Where Art Thou?",107 min,7.7,2000,"Adventure, Comedy, Crime"
The Fighter,116 min,7.8,I 2010,"Biography, Drama, Sport"
Slumdog Millionaire,120 min,8.0,2008,"Drama, Romance"
Munich,164 min,7.5,2005,"Action, Drama, History"
Wyatt Earp,191 min,6.7,1994,"Adventure, Biography, Crime"
Straight Outta Compton,147 min,7.8,2015,"Biography, Drama, History"
Contact,150 min,7.5,1997,"Drama, Mystery, Sci-Fi"
Wild at Heart,125 min,7.2,1990,"Comedy, Crime, Drama"
Gosford Park,131 min,7.2,2001,"Comedy, Drama, Mystery"
Traffic,147 min,7.6,2000,"Crime, Drama, Thriller"
A Series of Unfortunate Events,108 min,6.8,2004,"Adventure, Comedy, Family"
Salt,100 min,6.4,2010,"Action, Thriller"
Kung Fu Panda,92 min,7.6,2008,"Animation, Action, Adventure"
Allied,124 min,7.1,2016,"Action, Drama, Romance"
Life of Pi,127 min,7.9,2012,"Adventure, Drama, Fantasy"
Mulan,88 min,7.7,1998,"Animation, Adventure, Comedy"
Boyz n the Hood,112 min,7.8,1991,"Crime, Drama"
Inside Llewyn Davis,104 min,7.5,2013,"Comedy, Drama, Music"
Marie Antoinette,123 min,6.5,2006,"Biography, Drama, History"
Transformers: Dark of the Moon,154 min,6.2,2011,"Action, Adventure, Sci-Fi"
Transformers: Revenge of the Fallen,149 min,6.0,2009,"Action, Adventure, Sci-Fi"
The Fugitive,130 min,7.8,1993,"Action, Crime, Drama"
What Dreams May Come,113 min,7.0,1998,"Drama, Fantasy, Romance"
Mary Queen of Scots,124 min,6.3,2018,"Biography, Drama, History"
Chocolat,121 min,7.2,2000,"Drama, Romance"
My Best Friend's Wedding,105 min,6.3,1997,"Comedy, Drama, Romance"
Roma,135 min,7.7,2018,Drama
Jane Eyre,120 min,7.3,2011,"Drama, Romance"
Sleepy Hollow,105 min,7.3,1999,"Fantasy, Horror, Mystery"
Bridge of Spies,142 min,7.6,2015,"Drama, History, Thriller"
Heavenly Creatures,99 min,7.3,1994,"Biography, Crime, Drama"
War for the Planet of the Apes,140 min,7.4,2017,"Action, Adventure, Drama"
The Midnight Sky,118 min,5.6,2020,"Drama, Fantasy, Sci-Fi"
Ralph Breaks the Internet,112 min,7.0,2018,"Animation, Adventure, Comedy"
Jackie,100 min,6.7,V 2016,"Biography, Drama"
Sideways,127 min,7.5,2004,"Comedy, Drama, Romance"
City Slickers,113 min,6.8,1991,"Comedy, Western"
Fried Green Tomatoes,130 min,7.7,1991,Drama
Pleasantville,124 min,7.5,1998,"Comedy, Drama, Fantasy"
The King's Speech,118 min,8.0,2010,"Biography, Drama, History"
Youth,124 min,7.3,I 2015,"Comedy, Drama, Music"
Corpse Bride,77 min,7.3,2005,"Animation, Drama, Family"
Foxcatcher,134 min,7.0,2014,"Biography, Drama, History"
Creed,133 min,7.6,II 2015,"Action, Drama, Sport"
Little Children,137 min,7.5,2006,"Drama, Romance"
The Disaster Artist,104 min,7.3,2017,"Biography, Comedy, Drama"
Anastasia,94 min,7.2,1997,"Animation, Adventure, Drama"
Memoirs of a Geisha,145 min,7.4,2005,"Drama, Romance"
Eastern Promises,100 min,7.6,2007,"Crime, Drama, Thriller"
A Bug's Life,95 min,7.2,1998,"Animation, Adventure, Comedy"
Tarzan,88 min,7.3,1999,"Animation, Adventure, Comedy"
Hollow Man,112 min,5.8,2000,"Action, Horror, Sci-Fi"
Captain Phillips,134 min,7.8,2013,"Adventure, Biography, Crime"
Frida,123 min,7.4,2002,"Biography, Drama, Romance"
The Bodyguard,129 min,6.3,1992,"Action, Drama, Music"
Changeling,141 min,7.7,2008,"Biography, Crime, Drama"
A Single Man,99 min,7.5,2009,"Drama, Romance"
My Big Fat Greek Wedding,95 min,6.6,2002,"Comedy, Drama, Romance"
Ali,157 min,6.8,2001,"Biography, Drama, Sport"
The Tree of Life,139 min,6.8,2011,"Drama, Fantasy"
The Time Machine,96 min,6.0,2002,"Action, Adventure, Sci-Fi"
Austin Powers: The Spy Who Shagged Me,95 min,6.6,1999,"Action, Adventure, Comedy"
The Jungle Book,106 min,7.4,2016,"Adventure, Drama, Family"
The Age of Innocence,139 min,7.2,1993,"Drama, Romance"
The Big Sick,120 min,7.5,2017,"Comedy, Drama, Romance"
Out of Sight,123 min,7.0,1998,"Comedy, Crime, Drama"
Harriet,125 min,6.6,I 2019,"Action, Biography, Drama"
Meet the Parents,108 min,7.0,2000,"Comedy, Romance"
Awakenings,121 min,7.8,1990,"Biography, Drama"
Click,107 min,6.4,2006,"Comedy, Drama, Fantasy"
Toy Story 2,92 min,7.9,1999,"Animation, Adventure, Comedy"
3:10 to Yuma,122 min,7.7,2007,"Action, Crime, Drama"
Dawn of the Planet of the Apes,130 min,7.6,2014,"Action, Adventure, Drama"
First Man,141 min,7.3,2018,"Biography, Drama, History"
Sexy Beast,89 min,7.3,2000,"Crime, Drama, Thriller"
Walk the Line,136 min,7.8,2005,"Biography, Drama, Music"
The Assassination of Jesse James by the Coward Robert Ford,160 min,7.5,2007,"Biography, Crime, Drama"
Boyhood,165 min,7.9,I 2014,Drama
The Judge,141 min,7.4,2014,"Crime, Drama"
Sully,96 min,7.4,2016,"Biography, Drama"
Something's Gotta Give,128 min,6.7,2003,"Comedy, Drama, Romance"
Australia,165 min,6.6,2008,"Adventure, Comedy, Drama"
The Princess and the Frog,97 min,7.1,2009,"Animation, Adventure, Comedy"
Brooklyn,117 min,7.5,2015,"Drama, Romance"
Cliffhanger,113 min,6.5,1993,"Action, Adventure, Thriller"
The Golden Compass,113 min,6.1,2007,"Adventure, Family, Fantasy"
The Perfect Storm,130 min,6.4,2000,"Action, Adventure, Drama"
The Emperor's New Groove,78 min,7.4,2000,"Animation, Adventure, Comedy"
Shakespeare in Love,123 min,7.1,1998,"Comedy, Drama, History"
The Black Dahlia,121 min,5.6,2006,"Crime, Drama, Mystery"
Death Becomes Her,104 min,6.6,1992,"Comedy, Fantasy, Horror"
Steve Jobs,122 min,7.2,2015,"Biography, Drama"
The Birdcage,117 min,7.1,1996,Comedy
The Wrestler,109 min,7.9,2008,"Drama, Sport"
Treasure Planet,95 min,7.2,2002,"Animation, Adventure, Family"
The Descendants,115 min,7.3,2011,"Comedy, Drama"
The Prince of Egypt,99 min,7.1,1998,"Animation, Adventure, Drama"
Judy,118 min,6.8,II 2019,"Biography, Drama, Romance"
Leaving Las Vegas,111 min,7.5,1995,"Drama, Romance"
Match Point,124 min,7.6,2005,"Drama, Romance, Thriller"
Master and Commander: The Far Side of the World,138 min,7.4,2003,"Action, Adventure, Drama"
The Lego Movie,100 min,7.7,2014,"Animation, Action, Adventure"
Philadelphia,125 min,7.7,1993,Drama
The Constant Gardener,129 min,7.4,2005,"Drama, Mystery, Romance"
Defiance,137 min,7.2,I 2008,"Action, Drama, History"
127 Hours,94 min,7.5,2010,"Biography, Drama"
Michael Clayton,119 min,7.2,2007,"Crime, Drama, Mystery"
A History of Violence,96 min,7.4,2005,"Action, Drama, Thriller"
"Hail, Caesar!",106 min,6.3,2016,"Comedy, Drama, Music"
The Boss Baby,97 min,6.3,2017,"Animation, Adventure, Comedy"
The Adventures of Tintin,107 min,7.3,2011,"Animation, Action, Adventure"
Clear and Present Danger,141 min,6.9,1994,"Action, Crime, Drama"
"South Park: Bigger, Longer & Uncut",81 min,7.7,1999,"Animation, Comedy, Fantasy"
Bolt,96 min,6.8,2008,"Animation, Adventure, Comedy"
Being John Malkovich,113 min,7.7,1999,"Comedy, Drama, Fantasy"
Hotel Rwanda,121 min,8.1,2004,"Biography, Drama, History"
Happy Feet,108 min,6.4,2006,"Animation, Adventure, Comedy"
Da 5 Bloods,154 min,6.5,2020,"Adventure, Drama, War"
The First Wives Club,103 min,6.4,1996,Comedy
How to Train Your Dragon: The Hidden World,104 min,7.5,2019,"Animation, Action, Adventure"
Rango,107 min,7.2,2011,"Animation, Action, Adventure"
Elizabeth,124 min,7.4,1998,"Biography, Drama, History"
Billy Elliot,110 min,7.7,2000,"Drama, Music"
Across the Universe,133 min,7.3,2007,"Drama, Fantasy, History"
L'amant,115 min,6.9,1992,"Biography, Drama, Romance"
August: Osage County,121 min,7.2,2013,"Comedy, Drama"
Ferdinand,108 min,6.8,2017,"Animation, Adventure, Comedy"
Hillbilly Elegy,116 min,6.7,2020,Drama
Rise of the Planet of the Apes,105 min,7.5,2011,"Action, Drama, Sci-Fi"
Under Siege,103 min,6.5,1992,"Action, Thriller"
Boys Don't Cry,118 min,7.5,1999,"Biography, Crime, Drama"
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,95 min,6.6,2020,Comedy
Ghost World,111 min,7.3,2001,"Comedy, Drama"
Lilo & Stitch,85 min,7.3,2002,"Animation, Adventure, Comedy"
Beginners,105 min,7.2,2010,"Comedy, Drama, Romance"
Margin Call,107 min,7.1,2011,"Drama, Thriller"
Sling Blade,135 min,8.0,1996,Drama
War Horse,146 min,7.2,2011,"Action, Adventure, Drama"
Fences,139 min,7.2,2016,Drama
The Lone Ranger,150 min,6.4,2013,"Action, Adventure, Western"
Mudbound,134 min,7.4,2017,"Drama, War"
Winter's Bone,100 min,7.2,2010,"Drama, Mystery"
Joy,124 min,6.6,I 2015,"Biography, Drama"
The New World,135 min,6.7,2005,"Biography, Drama, History"
DragonHeart,103 min,6.5,1996,"Action, Adventure, Fantasy"
Before Sunset,80 min,8.1,2004,"Drama, Romance"
Crimson Tide,116 min,7.3,1995,"Action, Drama, Thriller"
Wild,115 min,7.1,I 2014,"Adventure, Biography, Drama"
The Queen,103 min,7.3,2006,"Biography, Drama"
Pocahontas,81 min,6.7,I 1995,"Animation, Adventure, Drama"
I Am Sam,132 min,7.6,2001,Drama
Norbit,103 min,4.1,2007,"Comedy, Romance"
Glengarry Glen Ross,100 min,7.7,1992,"Crime, Drama, Mystery"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,84 min,7.3,2006,Comedy
Babel,143 min,7.4,I 2006,Drama
Despicable Me 2,98 min,7.3,2013,"Animation, Adventure, Comedy"
The Square,151 min,7.2,2017,"Comedy, Drama"
Dreamgirls,130 min,6.5,2006,"Drama, Music, Musical"
Shark Tale,90 min,6.0,2004,"Animation, Adventure, Comedy"
The Way Back,133 min,7.3,I 2010,"Adventure, Drama, History"
In the Line of Fire,128 min,7.2,1993,"Action, Crime, Drama"
The Crying Game,112 min,7.3,1992,"Crime, Drama, Romance"
A Serious Man,106 min,7.1,2009,"Comedy, Drama"
Six Degrees of Separation,112 min,6.8,1993,"Comedy, Drama, Mystery"
The Hours,110 min,7.5,2002,"Drama, Romance"
Adaptation.,115 min,7.7,2002,"Comedy, Drama"
The Nutty Professor,95 min,5.6,1996,"Comedy, Romance, Sci-Fi"
Malcolm X,202 min,7.7,1992,"Biography, Drama, History"
21 Grams,124 min,7.6,2003,"Crime, Drama, Thriller"
Deepwater Horizon,107 min,7.1,2016,"Action, Drama, History"
The Illusionist,110 min,7.6,2006,"Drama, Fantasy, Mystery"
Blue Jasmine,98 min,7.3,2013,"Comedy, Drama"
WolfWalkers,103 min,8.0,2020,"Animation, Adventure, Family"
Nebraska,115 min,7.7,2013,"Adventure, Comedy, Drama"
Rio,96 min,6.9,2011,"Animation, Adventure, Comedy"
The Imaginarium of Doctor Parnassus,123 min,6.8,2009,"Adventure, Comedy, Fantasy"
Crazy Heart,112 min,7.2,2009,"Drama, Music, Romance"
Real Steel,127 min,7.0,2011,"Action, Drama, Sci-Fi"
Star Trek VI: The Undiscovered Country,110 min,7.2,1991,"Action, Adventure, Sci-Fi"
If Beale Street Could Talk,119 min,7.1,2018,"Drama, Romance"
Still Alice,101 min,7.5,2014,Drama
Precious,110 min,7.3,II 2009,Drama
Sabrina,127 min,6.3,1995,"Comedy, Drama, Romance"
Before Midnight,109 min,7.9,2013,"Drama, Romance"
Julie & Julia,123 min,7.0,2009,"Biography, Drama, Romance"
The Hunchback of Notre Dame,91 min,7.0,1996,"Animation, Drama, Family"
First Reformed,113 min,7.1,2017,"Drama, Mystery, Thriller"
The Young Victoria,105 min,7.3,2009,"Biography, Drama, History"
20th Century Women,119 min,7.3,2016,"Comedy, Drama"
Hellboy II: The Golden Army,120 min,7.0,2008,"Action, Adventure, Fantasy"
A Little Princess,97 min,7.7,1995,"Drama, Family, Fantasy"
Cinderella Man,144 min,8.0,2005,"Biography, Drama, History"
Charlie Wilson's War,102 min,7.0,2007,"Biography, Comedy, Drama"
How to Train Your Dragon 2,102 min,7.8,2014,"Animation, Action, Adventure"
Maverick,127 min,7.0,1994,"Action, Adventure, Comedy"
In the Name of the Father,133 min,8.1,1993,"Biography, Crime, Drama"
The Cider House Rules,126 min,7.4,1999,"Drama, Romance"
Stuart Little,84 min,5.9,1999,"Adventure, Comedy, Family"
Joyeux Noël,116 min,7.7,2005,"Drama, History, Music"
The Bridges of Madison County,135 min,7.6,1995,"Drama, Romance"
Ed Wood,127 min,7.8,1994,"Biography, Comedy, Drama"
Poseidon,98 min,5.7,2006,"Action, Adventure, Thriller"
The Insider,157 min,7.8,1999,"Biography, Drama, Thriller"
Saving Mr. Banks,125 min,7.5,2013,"Biography, Comedy, Drama"
Backdraft,137 min,6.7,1991,"Action, Crime, Drama"
Space Cowboys,130 min,6.5,2000,"Action, Adventure, Thriller"
The Client,119 min,6.8,1994,"Crime, Drama, Mystery"
The Book Thief,131 min,7.5,2013,"Drama, War"
Hamlet,242 min,7.7,1996,Drama
The Remains of the Day,134 min,7.8,1993,"Drama, Romance"
The Crucible,124 min,6.8,1996,"Drama, History"
The Player,124 min,7.5,1992,"Comedy, Crime, Drama"
Unstoppable,98 min,6.8,2010,"Action, Thriller"
The Ides of March,101 min,7.1,2011,"Drama, Thriller"
Ma Rainey's Black Bottom,94 min,6.9,2020,"Drama, Music"
Days of Thunder,107 min,6.1,1990,"Action, Drama, Sport"
At Eternity's Gate,111 min,6.9,2018,"Biography, Drama"
Barton Fink,116 min,7.7,1991,"Comedy, Drama, Thriller"
One Night in Miami...,114 min,7.1,2020,Drama
The Portrait of a Lady,144 min,6.2,1996,"Drama, Romance"
Extremely Loud & Incredibly Close,129 min,6.9,2011,"Adventure, Drama, Mystery"
The Last King of Scotland,123 min,7.7,2006,"Biography, Drama, History"
The Two Popes,125 min,7.6,2019,"Comedy, Drama"
Young Guns II,104 min,6.5,1990,"Action, Western"
Howards End,142 min,7.4,1992,"Drama, Romance"
Girl with a Pearl Earring,100 min,6.9,2003,"Biography, Drama, Romance"
The Preacher's Wife,123 min,5.6,1996,"Comedy, Drama, Fantasy"
"The Adventures of Priscilla, Queen of the Desert",104 min,7.5,1994,"Comedy, Music"
The Artist,100 min,7.9,I 2011,"Comedy, Drama, Romance"
Monster House,91 min,6.6,2006,"Animation, Comedy, Family"
The Commitments,118 min,7.6,1991,"Comedy, Drama, Music"
United 93,111 min,7.6,2006,"Action, Drama, History"
Babe,91 min,6.8,1995,"Comedy, Drama, Family"
Air Force One,124 min,6.5,1997,"Action, Drama, Thriller"
Christopher Robin,104 min,7.3,2018,"Animation, Adventure, Comedy"
"Quo vadis, Aida?",101 min,7.9,2020,"Drama, History, War"
Ray,152 min,7.7,I 2004,"Biography, Drama, Music"
Doubt,104 min,7.5,I 2008,"Drama, Mystery"
Kung Fu Panda 2,90 min,7.2,2011,"Animation, Action, Adventure"
Kaze tachinu,126 min,7.8,2013,"Animation, Biography, Drama"
Once,86 min,7.8,I 2007,"Drama, Music, Romance"
Nine,118 min,5.8,2009,"Drama, Musical, Romance"
Star Trek: First Contact,111 min,7.6,1996,"Action, Adventure, Drama"
Capote,114 min,7.3,2005,"Biography, Crime, Drama"
Emma,120 min,6.7,1996,"Comedy, Drama, Romance"
Damage,111 min,6.8,1992,"Drama, Romance"
The Muppets,120 min,7.1,2011,"Adventure, Comedy, Family"
Amistad,155 min,7.3,1997,"Biography, Drama, History"
